"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples","MutationPercentage","MutationGroup"
"MUC19",3,10,11,2,362,16,9,10,0,423,8,8,100,"76-100%"
"MUC4",0,0,0,10,391,0,0,0,0,401,8,8,100,"76-100%"
"MUC16",0,0,0,0,347,0,0,0,0,347,8,8,100,"76-100%"
"MUC3A",0,0,0,5,267,2,0,0,0,274,8,8,100,"76-100%"
"FCGBP",12,19,6,0,219,1,0,0,0,257,8,8,100,"76-100%"
"AHNAK2",0,0,1,0,252,0,0,0,0,253,8,8,100,"76-100%"
"MUC12",0,0,0,0,231,0,0,0,0,231,8,8,100,"76-100%"
"PKD1L2",3,1,0,0,184,18,8,0,0,214,8,8,100,"76-100%"
"CCDC168",0,0,0,0,149,0,0,0,0,149,8,8,100,"76-100%"
"FSIP2",0,0,0,0,144,0,0,0,0,144,8,8,100,"76-100%"
"OBSCN",0,0,0,0,142,0,0,0,0,142,8,8,100,"76-100%"
"HLA-B",0,0,0,0,140,0,0,0,0,140,8,8,100,"76-100%"
"HRNR",8,0,0,0,128,0,0,0,0,136,8,8,100,"76-100%"
"TTN",0,0,0,0,125,0,0,0,0,125,8,8,100,"76-100%"
"ZAN",13,0,2,0,93,0,0,5,0,113,8,8,100,"76-100%"
"C1orf167",0,0,0,0,106,1,0,0,0,107,8,8,100,"76-100%"
"HLA-C",0,0,0,0,104,0,0,0,0,104,8,8,100,"76-100%"
"GOLGA6L2",8,0,8,16,70,0,0,0,0,102,8,8,100,"76-100%"
"ZNF568",0,0,0,0,94,0,7,0,0,101,8,8,100,"76-100%"
"FLG",0,0,0,0,97,1,0,0,0,98,8,8,100,"76-100%"
"HLA-DRB1",6,3,0,0,81,5,0,2,0,97,8,8,100,"76-100%"
"PARP4",0,0,0,0,95,0,0,0,0,95,8,8,100,"76-100%"
"ALMS1",0,0,16,0,77,0,0,0,0,93,8,8,100,"76-100%"
"GPRIN2",0,0,0,6,87,0,0,0,0,93,8,8,100,"76-100%"
"ZNF717",1,0,6,0,83,0,0,0,0,90,8,8,100,"76-100%"
"DNAH14",1,0,0,0,88,0,0,0,0,89,8,8,100,"76-100%"
"SYNE2",0,0,0,0,85,3,0,0,0,88,8,8,100,"76-100%"
"PRUNE2",0,0,8,7,72,0,0,0,0,87,8,8,100,"76-100%"
"FAT1",0,0,0,0,86,0,0,0,0,86,8,8,100,"76-100%"
"OR9G1",0,0,0,0,86,0,0,0,0,86,8,8,100,"76-100%"
