"Gene","Mutation_Type","Count"
"MUC19","Frame_Shift_Del",3
"MUC19","Frame_Shift_Ins",10
"MUC19","In_Frame_Del",11
"MUC19","In_Frame_Ins",2
"MUC19","Missense_Mutation",362
"MUC19","Nonsense_Mutation",16
"MUC19","Nonstop_Mutation",9
"MUC19","Splice_Site",10
"MUC4","In_Frame_Ins",10
"MUC4","Missense_Mutation",391
"MUC16","Missense_Mutation",347
"MUC3A","In_Frame_Ins",5
"MUC3A","Missense_Mutation",267
"MUC3A","Nonsense_Mutation",2
"FCGBP","Frame_Shift_Del",12
"FCGBP","Frame_Shift_Ins",19
"FCGBP","In_Frame_Del",6
"FCGBP","Missense_Mutation",219
"FCGBP","Nonsense_Mutation",1
"AHNAK2","In_Frame_Del",1
"AHNAK2","Missense_Mutation",252
"MUC12","Missense_Mutation",231
"PKD1L2","Frame_Shift_Del",3
"PKD1L2","Frame_Shift_Ins",1
"PKD1L2","Missense_Mutation",184
"PKD1L2","Nonsense_Mutation",18
"PKD1L2","Nonstop_Mutation",8
"CCDC168","Missense_Mutation",149
"FSIP2","Missense_Mutation",144
"OBSCN","Missense_Mutation",142
"HLA-B","Missense_Mutation",140
"HRNR","Frame_Shift_Del",8
"HRNR","Missense_Mutation",128
"TTN","Missense_Mutation",125
"ZAN","Frame_Shift_Del",13
"ZAN","In_Frame_Del",2
"ZAN","Missense_Mutation",93
"ZAN","Splice_Site",5
"C1orf167","Missense_Mutation",106
"C1orf167","Nonsense_Mutation",1
"HLA-C","Missense_Mutation",104
"GOLGA6L2","Frame_Shift_Del",8
"GOLGA6L2","In_Frame_Del",8
"GOLGA6L2","In_Frame_Ins",16
"GOLGA6L2","Missense_Mutation",70
"ZNF568","Missense_Mutation",94
"ZNF568","Nonstop_Mutation",7
"FLG","Missense_Mutation",97
"FLG","Nonsense_Mutation",1
"HLA-DRB1","Frame_Shift_Del",6
"HLA-DRB1","Frame_Shift_Ins",3
"HLA-DRB1","Missense_Mutation",81
"HLA-DRB1","Nonsense_Mutation",5
"HLA-DRB1","Splice_Site",2
"PARP4","Missense_Mutation",95
"ALMS1","In_Frame_Del",16
"ALMS1","Missense_Mutation",77
"GPRIN2","In_Frame_Ins",6
"GPRIN2","Missense_Mutation",87
"ZNF717","Frame_Shift_Del",1
"ZNF717","In_Frame_Del",6
"ZNF717","Missense_Mutation",83
"DNAH14","Frame_Shift_Del",1
"DNAH14","Missense_Mutation",88
"SYNE2","Missense_Mutation",85
"SYNE2","Nonsense_Mutation",3
"PRUNE2","In_Frame_Del",8
"PRUNE2","In_Frame_Ins",7
"PRUNE2","Missense_Mutation",72
"FAT1","Missense_Mutation",86
"OR9G1","Missense_Mutation",86
"DNHD1","In_Frame_Ins",8
"DNHD1","Missense_Mutation",77
