"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"TRGV9",0,0,0,0,6,0,0,0,0,6,5,5
"TRGC2",0,0,0,0,4,0,0,0,0,4,2,2
"CD3G",0,0,0,0,2,0,0,0,0,2,2,2
"TRBV7-3",0,0,0,0,2,0,0,0,0,2,2,2
"TRAV8-4",0,0,0,0,2,0,0,0,0,2,1,1
"TRBV3-1",0,0,0,0,2,0,0,0,0,2,1,1
"TRBV6-5",0,0,0,0,2,0,0,0,0,2,1,1
"CD3E",0,0,0,0,1,0,0,0,0,1,1,1
"TRAJ13",0,0,0,0,1,0,0,0,0,1,1,1
"TRAJ38",0,0,0,0,1,0,0,0,0,1,1,1
"TRAV36DV7",0,0,0,0,1,0,0,0,0,1,1,1
"TRBV5-3",0,0,0,0,1,0,0,0,0,1,1,1
"TRBV6-8",0,0,0,0,1,0,0,0,0,1,1,1
"TRBV7-4",0,0,0,0,1,0,0,0,0,1,1,1
