tcr,bin,accuracy,f1,precision,recall,cv_f1,num_mutations_in_bin,num_significant_features,penalty,C,solver
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1to2,1.0,1.0,1.0,1.0,0.45,203659,170,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1to3,1.0,1.0,1.0,1.0,0.2,292877,158,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1to4,1.0,1.0,1.0,1.0,0.5,355002,153,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1to5,1.0,1.0,1.0,1.0,0.0,403774,115,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1to6,1.0,1.0,1.0,1.0,0.0,444526,119,l1,10,liblinear
TRAV13-1;TRBV18_TRAJ29;TRBJ2-7,1to7,1.0,1.0,1.0,1.0,0.0,481320,15,l1,1,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1to2,1.0,1.0,1.0,1.0,0.4,203659,119,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1to3,1.0,1.0,1.0,1.0,0.45,292877,137,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1to4,1.0,1.0,1.0,1.0,0.5,355002,162,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1to5,1.0,1.0,1.0,1.0,0.0,403774,131,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1to6,1.0,1.0,1.0,1.0,0.0,444526,140,l1,10,liblinear
TRAV2;TRBV6-6_TRAJ37;TRBJ2-7,1to7,1.0,1.0,1.0,1.0,0.0,481320,113,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1to2,1.0,1.0,1.0,1.0,0.4,203659,118,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1to3,1.0,1.0,1.0,1.0,0.45,292877,154,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1to4,1.0,1.0,1.0,1.0,0.5,355002,171,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1to5,1.0,1.0,1.0,1.0,0.0,403774,135,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1to6,1.0,1.0,1.0,1.0,0.0,444526,142,l1,10,liblinear
TRAV8-3;TRBV19_TRAJ34;TRBJ2-3,1to7,1.0,1.0,1.0,1.0,0.0,481320,119,l1,10,liblinear
TRAV9-2;TRBV11-3_TRAJ37;TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRAV9-2;TRBV11-3_TRAJ37;TRBJ2-7,1to2,1.0,1.0,1.0,1.0,0.45,203659,152,l1,10,liblinear
TRAV9-2;TRBV11-3_TRAJ37;TRBJ2-7,1to3,1.0,1.0,1.0,1.0,0.5833333333333333,292877,126,l1,10,liblinear
TRAV9-2;TRBV11-3_TRAJ37;TRBJ2-7,1to4,1.0,1.0,1.0,1.0,0.25,355002,195,l1,10,liblinear
TRAV9-2;TRBV11-3_TRAJ37;TRBJ2-7,1to5,1.0,1.0,1.0,1.0,0.5,403774,164,l1,10,liblinear
TRAV9-2;TRBV11-3_TRAJ37;TRBJ2-7,1to6,1.0,1.0,1.0,1.0,0.0,444526,15,l1,1,liblinear
TRAV9-2;TRBV11-3_TRAJ37;TRBJ2-7,1to7,1.0,1.0,1.0,1.0,0.0,481320,107,l1,10,liblinear
TRBV20-1_TRBJ2-1,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV20-1_TRBJ2-1,1to2,1.0,1.0,1.0,1.0,0.0,203659,234,l1,10,liblinear
TRBV20-1_TRBJ2-1,1to3,1.0,1.0,1.0,1.0,0.0,292877,37,l1,1,liblinear
TRBV20-1_TRBJ2-1,1to4,1.0,1.0,1.0,1.0,0.0,355002,26,l1,1,liblinear
TRBV20-1_TRBJ2-1,1to5,1.0,1.0,1.0,1.0,0.0,403774,13,l1,1,liblinear
TRBV20-1_TRBJ2-1,1to6,1.0,1.0,1.0,1.0,0.0,444526,18,l1,1,liblinear
TRBV20-1_TRBJ2-1,1to7,1.0,1.0,1.0,1.0,0.0,481320,17,l1,1,liblinear
TRBV5-1_TRBJ2-1,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV5-1_TRBJ2-1,1to2,1.0,1.0,1.0,1.0,0.0,203659,178,l1,10,liblinear
TRBV5-1_TRBJ2-1,1to3,1.0,1.0,1.0,1.0,0.0,292877,20,l1,1,liblinear
TRBV5-1_TRBJ2-1,1to4,1.0,1.0,1.0,1.0,0.0,355002,30,l1,1,liblinear
TRBV5-1_TRBJ2-1,1to5,1.0,1.0,1.0,1.0,0.0,403774,15,l1,1,liblinear
TRBV5-1_TRBJ2-1,1to6,1.0,1.0,1.0,1.0,0.0,444526,15,l1,1,liblinear
TRBV5-1_TRBJ2-1,1to7,1.0,1.0,1.0,1.0,0.0,481320,20,l1,1,liblinear
TRBV9_TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV9_TRBJ2-7,1to2,1.0,1.0,1.0,1.0,0.4,203659,118,l1,10,liblinear
TRBV9_TRBJ2-7,1to3,1.0,1.0,1.0,1.0,0.45,292877,150,l1,10,liblinear
TRBV9_TRBJ2-7,1to4,1.0,1.0,1.0,1.0,0.5,355002,169,l1,10,liblinear
TRBV9_TRBJ2-7,1to5,1.0,1.0,1.0,1.0,0.0,403774,119,l1,10,liblinear
TRBV9_TRBJ2-7,1to6,1.0,1.0,1.0,1.0,0.0,444526,135,l1,10,liblinear
TRBV9_TRBJ2-7,1to7,1.0,1.0,1.0,1.0,0.0,481320,110,l1,10,liblinear
