feature,odds_ratio,p_value,coefficient
rs35649980,4.953032424391944,0.024834252658183065,1.59999999999936
rs9908320,4.953032424391944,0.02872069347856976,1.59999999999936
rs6815735,0.23640237734044744,0.04151620829233882,-1.4422199370690867
rs298173,0.23640237734044744,0.04262733065539703,-1.4422199370690867
rs7334739,0.23640237734044744,0.04062552015743903,-1.4422199370690867
rs6765231,0.23640237734044744,0.04041068515648871,-1.4422199370690867
rs1259552033,0.23640237734044744,0.04269864762203035,-1.4422199370690867
rs72793633,1.5081081393002997,0.0015195996261658795,0.4108559774260351
rs2039594649,1.5081081393002997,0.0015195996261658795,0.4108559774260351
rs113971165,1.341308321689548,0.0015195996261658795,0.2936454971037451
rs2728688,1.341308321689548,0.0015195996261658795,0.2936454971037451
rs10895810,1.3357469388082672,0.013422625160805834,0.28949064011309683
rs76340447,1.3357469388082672,0.012687322014970137,0.28949064011309683
rs10840124,1.1618342427293202,0.00996835867619783,0.15000000000089264
rs532468651,1.1618342427293202,0.009558945845886901,0.15000000000089264
rs71278719,1.1119668530243618,0.0015195996261658795,0.10613038695278128
rs28736685,1.1119668530243618,0.0015195996261658795,0.10613038695278128
rs75763606,0.9785543534800293,0.0015195996261661016,-0.02167894593192515
rs2083726,0.9785543534800293,0.0015195996261661016,-0.02167894593192515
rs9369551,0.9785543534800293,0.0015195996261661016,-0.02167894593192515
rs60358286,0.9785543534800293,0.0015195996261661016,-0.02167894593192515
rs1663800581,0.9785543534800293,0.0015195996261661016,-0.02167894593192515
rs1557395390,0.9785543534800293,0.0015195996261661016,-0.02167894593192515
rs7395513,1.0046927599164146,0.0015195996261658795,0.004681783245788943
rs4669840,1.0046927599164146,0.0015195996261658795,0.004681783245788943
