feature,odds_ratio,p_value,coefficient
rs6765231,4.953032424391944,0.024761677168981144,1.59999999999936
rs9908320,4.953032424391944,0.0248773270624989,1.59999999999936
rs6815735,0.23640237734044744,0.03712157350160461,-1.4422199370690867
rs298173,0.23640237734044744,0.04285820978130994,-1.4422199370690867
rs7334739,0.23640237734044744,0.040066927148271425,-1.4422199370690867
rs1259552033,0.23640237734044744,0.04001210894881502,-1.4422199370690867
rs35649980,0.23640237734044744,0.04105611555928079,-1.4422199370690867
rs11663928,1.5081081393002997,0.0011060019738740046,0.4108559774260351
rs2039594649,1.5081081393002997,0.0011060019738740046,0.4108559774260351
rs540286157,1.341308321689548,0.0011060019738742266,0.2936454971037451
rs2728688,1.341308321689548,0.0011060019738742266,0.2936454971037451
rs1008048651,1.3357469388082672,0.013558285579452045,0.28949064011309683
rs76340447,1.3357469388082672,0.014567256995871913,0.28949064011309683
rs35000902,1.1618342427293202,0.010019772614234812,0.15000000000089264
rs532468651,1.1618342427293202,0.010789261262788452,0.15000000000089264
rs112217170,1.1119668530243618,0.0011060019738740046,0.10613038695278128
rs28736685,1.1119668530243618,0.0011060019738740046,0.10613038695278128
rs75763606,0.9785543534800293,0.0011060019738740046,-0.02167894593192515
rs2083726,0.9785543534800293,0.0011060019738740046,-0.02167894593192515
rs9369551,0.9785543534800293,0.0011060019738740046,-0.02167894593192515
rs60358286,0.9785543534800293,0.0011060019738740046,-0.02167894593192515
rs1557395390,0.9785543534800293,0.0011060019738740046,-0.02167894593192515
rs7395513,0.9785543534800293,0.0011060019738740046,-0.02167894593192515
rs1663800581,1.0046927599164146,0.0011060019738742266,0.004681783245788943
rs4669840,1.0046927599164146,0.0011060019738742266,0.004681783245788943
