feature,odds_ratio,p_value,coefficient
rs6866325,0.6967293390258886,0.0,-0.3613582664133353
rs75782140,1.4230533750698084,0.0,0.35280482723759243
rs141289237,1.3021314114361173,0.0004437894062752079,0.26400246913572945
rs138450105,0.8435090274533342,0.0,-0.17018467467835835
rs33962480,0.8700478418710132,0.0,-0.13920707818910133
rs7925897,1.132690011830059,0.0,0.12459534516681102
rs201354006,0.8844675368407597,2.220446049250313e-16,-0.12276946832745325
rs7170554,1.1058114580890346,0.0,0.10057941667759336
rs6453077,0.9052981917159281,1.4344081478157023e-13,-0.09949089594454874
rs1043550,0.9091231979105756,3.1086244689504383e-15,-0.09527466273343028
rs12891176,1.071807840966611,0.0,0.06934679375124769
rs34193571,0.9449236161883802,0.0,-0.056651184185554294
rs62552623,1.0494876884813789,0.0,0.048302129367798916
rs2236582,1.0452924111548318,0.0,0.044296665561579664
rs4700137,0.9605806663746842,8.177516377383398e-07,-0.040217316567859665
rs149684571,1.0346674211935536,0.003742524897048405,0.03408004289894365
rs653140,1.0306852139073346,2.220446049250313e-16,0.03022383727742893
rs35930845,1.0265183560673514,0.0,0.0261728395063008
rs9349726,1.0037105708903022,0.0,0.0037037037043475113
rs889904,0.9971702206122848,0.0,-0.0028337907827693945
rs2437271,1.0005042819524688,0.0,0.0005041548450551393
