feature,odds_ratio,p_value,coefficient
rs200213632,1.5920469467169793,7.677545266204788e-09,0.4650205761312262
rs375384093,0.689984532848337,3.0295099762156497e-11,-0.37108609780390817
rs66632067,0.7440994610614656,7.573985882913803e-11,-0.29558056886158457
rs7525861,0.835984210762923,7.808798052622024e-11,-0.1791455527230117
rs559942160,0.841272623073118,6.870904178946091e-08,-0.17283950617305838
rs2302932,1.1499072102762589,2.5412338899855058e-11,0.13968125240351395
rs2811788,0.8914842268441687,0.003988202162766852,-0.11486753466309083
rs200901254,1.1175190687418628,3.476784426581503e-06,0.1111111111111104
rs878948981,0.8977136004525768,1.7112003414254673e-07,-0.10790419200277139
rs2876532,0.9347049482014853,2.7485569376040075e-10,-0.06752436291493483
rs822681,1.03965792789245,2.5412338899855058e-11,0.03889174356068917
rs1363839,1.0377314546250371,2.543321109271801e-11,0.03703703703732778
rs1357781221,0.9639692842803409,4.777260844690545e-07,-0.03669584765894992
rs30117,0.9712445397287557,3.6966207872524137e-10,-0.02917699921697778
rs113605309,1.0030644593420759,2.5412338899855058e-11,0.00305977345724134
